districtcode,subdistrictcode,subdistrictname
524,5446,Badami
524,5447,Bagalkot
524,5444,Bilgi
524,7061,Guledgudda
524,5448,Hungund
524,7062,Ilkal
524,5443,Jamkhandi
524,5445,Mudhol
524,7063,Rabakavi Banahatti
524,7398,Terdal
528,5500,Ballari
528,7107,Kampli
528,7109,Kurugodu
528,5501,Sandur
528,5499,Siruguppa
527,5434,Athni
527,5440,Bailahongala
527,5438,Belagavi
527,5433,Chikodi
527,5436,Gokak
527,5437,Hukeri
527,7100,Kagwad
527,5439,Khanapur
527,7043,Kittur
527,7099,Mudalgi
527,7105,Nippani
527,5442,Ramdurg
527,5435,Raybag
527,5441,Savadatti
527,7195,Yaragatti
526,5603,Devanahalli
526,5602,Dodda Ballapur
526,5604,Hosakote
526,5601,Nelamangala
525,5545,Anekal
525,5544,Bengaluru East
525,5542,Bengaluru North
525,5543,Bengaluru South
525,7103,Yelahanka
529,5456,Aurad
529,5454,Basavakalyan
529,5455,Bhalki
529,5457,Bidar
529,7084,Chitaguppa
529,5458,Homnabad
529,7086,Hulsoor
529,7085,Kamalnagar
531,5577,Chamarajanagar
531,5576,Gundlupet
531,7077,Hanur
531,5579,Kollegal
531,5578,Yelandur
630,5598,Bagepalli
630,5596,Chikkaballapura
630,5600,Chintamani
630,5595,Gauribidanur
630,5597,Gudibanda
630,5599,Sidlaghatta
532,7078,Ajjampura
532,5530,Chikkamagaluru
532,5529,Kadur
532,7194,Kalasa
532,5526,Koppa
532,5531,Mudigere
532,5527,Narasimharajapura
532,5525,Sringeri
532,5528,Tarikere
533,5504,Challakere
533,5505,Chitradurga
533,5508,Hiriyur
533,5506,Holalkere
533,5507,Hosdurga
533,5503,Molakalmuru
534,5562,Bantval
534,5563,Beltangadi
534,7104,Kadaba
534,5561,Mangaluru
534,7102,Moodubidire
534,7198,Mulki
534,5564,Puttur
534,5565,Sulya
534,7197,Ullala
535,5514,Channagiri
535,5512,Davanagere
535,5509,Harihar
535,5513,Honnali
535,5511,Jagalur
535,7076,Nyamathi
536,7081,Alnavar
536,7080,Annigeri
536,5473,Dharwad
536,5475,Hubballi
536,7079,Hubballi Urban
536,5476,Kalghatgi
536,5477,Kundgol
536,5474,Navalgund
537,5470,Gadag
537,7082,Gajendragad
537,7083,Laxmeshwar
537,5472,Mundargi
537,5468,Nargund
537,5469,Ron
537,5471,Shirhatti
539,5557,Alur
539,5558,Arkalgud
539,5555,Arsikere
539,5554,Belur
539,5560,Channarayapatna
539,5556,Hassan
539,5559,Hole Narsipur
539,5553,Sakleshpur
540,5493,Byadgi
540,5491,Hangal
540,5492,Haveri
540,5494,Hirekerur
540,5495,Ranibennur
540,7106,Rattihalli
540,5490,Savanur
540,5489,Shiggaon
538,5581,Afzalpur
538,5580,Aland
538,5583,Chincholi
538,5585,Chittapur
538,5586,Jevargi
538,5582,Kalaburagi
538,7087,Kalagi
538,7090,Kamalapur
538,5584,Sedam
538,7088,Shahabad
538,7089,Yadrami
541,7124,Kushalanagar
541,5566,Madikeri
541,7125,Ponnampet
541,5567,Somvarpet
541,5568,Virajpet
542,5593,Bangarapet
542,5591,Kolar
542,7002,Kolar Gold Field
542,5592,Malur
542,5594,Mulbagal
542,5590,Srinivaspur
543,5466,Gangawati
543,7091,Kanakagiri
543,7092,Karatagi
543,5467,Koppal
543,7093,Kukunoor
543,5465,Kushtagi
543,5464,Yelbarga
544,5546,Krishnarajpet
544,5551,Maddur
544,5552,Malavalli
544,5550,Mandya
544,5547,Nagamangala
544,5548,Pandavapura
544,5549,Shrirangapattana
545,5573,Heggadadevankote
545,5570,Hunsur
545,5571,Krishnarajanagara
545,5572,Mysuru
545,5574,Nanjangud
545,5569,Piriyapatna
545,7230,Saligrama
545,7098,Saraguru
545,5575,Tirumakudal - Narsipur
546,5460,Devadurga
546,5459,Lingsugur
546,5462,Manvi
546,7101,Maski
546,5461,Raichur
546,5463,Sindhnur
546,7097,Sirwar
631,5607,Channapatna
631,7196,Harohalli
631,5608,Kanakapura
631,5605,Magadi
631,5606,Ramanagara
547,5521,Bhadravati
547,5518,Hosanagara
547,5515,Sagar
547,5517,Shikarpur
547,5520,Shivamogga
547,5516,Sorab
547,5519,Tirthahalli
548,5532,Chiknayakanhalli
548,5538,Gubbi
548,5536,Koratagere
548,5541,Kunigal
548,5535,Madhugiri
548,5534,Pavagada
548,5533,Sira
548,5539,Tiptur
548,5537,Tumakuru
548,5540,Turuvekere
549,7066,Bainduru
549,7068,Brahmavara
549,7065,Hebri
549,7067,Kapu
549,5524,Karkal
549,5522,Kundapura
549,5523,Udupi
550,5484,Ankola
550,5488,Bhatkal
550,7064,Dandeli
550,5480,Haliyal
550,5487,Honavar
550,5478,Karwar
550,5485,Kumta
550,5482,Mundgod
550,5486,Siddapur
550,5483,Sirsi
550,5479,Supa
550,5481,Yellapur
738,5496,Hadagalli
738,5497,Hagaribommanahalli
738,5510,Harapanahalli
738,5498,Hosapete
738,7108,Kotturu
738,5502,Kudligi
530,7123,Almel
530,7069,Babaleshwar
530,5452,Basavana Bagevadi
530,7070,Chadachan
530,7071,Devara Hipparagi
530,5450,Indi
530,7072,Kolhar
530,5453,Muddebihal
530,7075,Nidagundi
530,5451,Sindgi
530,7073,Talikoti
530,7074,Tikota
530,5449,Vijayapura
635,7094,Gurumitkal
635,7096,Hunasagi
635,5588,Shahpur
635,5587,Shorapur
635,7095,Wadagera
635,5589,Yadgir
